EVENT_ID,BATCH_NO,EVENT_TS,EVENT_TYPE,UNIT,SEVERITY,EVENT_TEXT,EVENT_DETAIL
EVT-B104-001,B104,15-JUN-2025 07:00:00,PROC,CIP201,I,CIP cycle started,Pre-batch CIP initiated on BIO-101 train
EVT-B104-003,B104,15-JUN-2025 08:05:00,PROC,CIP201,,CIP cycle complete,Conductivity threshold achieved after extended hold
EVT-B104-004,B104,15-JUN-2025 08:22:00,PROC,BR-101,I,Batch started,Fermentation phase initiated — 22 min late vs plan
EVT-B104-004,B104,15-JUN-2025 08:22:00,PROC,BR-101,I,Batch started,Fermentation phase initiated — 22 min late vs plan
EVT-B104-009,B104,15-JUN-2025 10:18:00,OPER,BR-101,I,Operator buffer addition,Manual buffer added per SOP after pH alarm
EVT-B104-010,B104,15-JUN-2025 10:30:00,PROC,BR-101-TT,I,Temperature returned to range,Temperature within acceptable limits
EVT-B-101-001,B101,11-JUN-2025 07:05:00,PROC,CIP201,I,CIP cycle complete,
EVT-B-101-002,B101,11-JUN-2025 08:05:00,PROC,BR-101,I,Batch started,
EVT-B-101-003,B101,11-JUN-2025 10:05:00,PROC,BR-101,I,Fermentation phase stable,
EVT-B-101-END,B101,11-JUN-2025 19:05:00,PROC,BR-101,I,Batch complete,
EVT-B-102-001,B102,13-JUN-2025 07:25:00,PROC,CIP201,I,CIP cycle complete,
EVT-B-102-002,B102,13-JUN-2025 08:25:00,PROC,BR-101,I,Batch started,
EVT-B-102-003,B102,13-JUN-2025 10:25:00,PROC,BR-101,I,Fermentation phase stable,
EVT-B-102-004,B102,13-JUN-2025 08:50:00,PROC,BR-101,W,Minor start delay logged,
EVT-B-102-END,B102,13-JUN-2025 19:25:00,PROC,BR-101,I,Batch complete,
EVT-B-103-001,B103,14-JUN-2025 07:00:00,PROC,CIP201,I,CIP cycle complete,
EVT-B-103-002,B103,14-JUN-2025 08:00:00,PROC,BR-101,I,Batch started,
EVT-B-103-003,B103,14-JUN-2025 10:00:00,PROC,BR-101,I,Fermentation phase stable,
EVT-B-103-END,B103,14-JUN-2025 19:00:00,PROC,BR-101,I,Batch complete,
